Set No.,2023 Set,Country,Association,DOB,Age,Specialism,Batting_Style,Bowling_Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2022 Team,2022 IPL,C/U/A,Reserve_Price,Player_Name
1,BA1,India,KSCA,16-02-1991,32,BATSMAN,RHB,RIGHT ARM Off Spin,21,5,0,113,"RCB, DD, RPSG, PBKS",PBKS,13,Capped,100,Mayank Agarwal
1,BA1,England,F,22-02-1999,24,BATSMAN,RHB,RIGHT ARM Medium,1,0,20,0,Do No Play,Do No Play,0,Capped,150,Harry Brook
1,BA1,India,MCA,06-06-1988,34,BATSMAN,RHB,-,82,90,20,158,"MI, RPSG, RR, DC, KKR",KKR,7,Capped,50,Ajinkya Rahane
1,BA1,England,F,30-12-1990,32,BATSMAN,RHB,RIGHT ARM Off Spin,124,158,32,0,Do No Play,Do No Play,0,Capped,100,Joe Root
1,BA1,South Africa,F,09-10-1989,33,BATSMAN,LHB,-,0,36,26,5,RCB,Do No Play,0,Capped,200,Rilee Rossouw
1,BA1,New Zealand,F,08-08-1990,32,BATSMAN,RHB,-,88,155,87,76,SRH,SRH,13,Capped,200,Kane Williamson
2,AL1,England,F,03-06-1998,24,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,24,18,35,32,"KXIP, CSK",Do No Play,0,Capped,200,Sam Curran
2,AL1,Australia,F,03-06-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Fast,14,13,8,0,Do No Play,Do No Play,0,Capped,200,Cameron Green
2,AL1,Bangladesh,F,24-03-1987,36,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,63,221,109,71,"KKR, SRH",Do No Play,0,Capped,150,Shakib Al Hasan
2,AL1,West Indies,F,05-11-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,56,131,49,38,"CSK, KKR, SRH, LSG",LSG,12,Capped,200,Jason Holder
2,AL1,Zimbabwe,F,24-04-1986,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,17,123,66,0,Do No Play,Do No Play,0,Capped,50,Sikandar Raza
2,AL1,West Indies,F,01-11-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,5,24,6,PBKS,PBKS,6,Capped,50,Odean Smith
2,AL1,England,F,04-06-1991,31,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,86,105,43,43,"RPSG, RR",Do No Play,0,Capped,200,Ben Stokes
3,WK1,England,F,11-11-1998,24,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,6,14,2,KKR,Do No Play,0,Capped,200,Tom Banton
3,WK1,Bangladesh,F,13-10-1994,28,WICKETKEEPER,RHB,-,35,57,65,0,Do No Play,Do No Play,0,Capped,50,Litton Das
3,WK1,South Africa,F,30-07-1991,31,WICKETKEEPER,RHB,-,1,30,38,7,"RCB, RR",Do No Play,0,Capped,100,Heinrich Klaasen
3,WK1,Sri Lanka,F,02-02-1995,28,WICKETKEEPER,RHB,-,54,87,49,0,Do No Play,Do No Play,0,Capped,50,Kusal Mendis
3,WK1,West Indies,F,02-10-1995,27,WICKETKEEPER,LHB,-,0,52,72,47,"PBKS, SRH",SRH,14,Capped,200,Nicholas Pooran
3,WK1,England,F,28-08-1996,26,WICKETKEEPER,RHB,-,0,11,13,0,Do No Play,Do No Play,0,Capped,200,Phil Salt
4,FA1,England,F,04-10-1988,34,BOWLER,RHB,RIGHT ARM Fast Medium,8,35,84,28,"RCB, SRH, PBKS, CSK",CSK,4,Capped,200,Chris Jordan
4,FA1,New Zealand,F,13-04-1992,30,BOWLER,RHB,RIGHT ARM Fast,0,41,35,10,"MI, RCB, CSK",CSK,1,Capped,200,Adam Milne
4,FA1,Australia,F,20-09-1996,26,BOWLER,RHB,RIGHT ARM Fast,3,15,18,3,PBKS,Do No Play,0,Capped,150,Jhye Richardson
4,FA1,India,DDCA,02-09-1988,34,BOWLER,RHB,RIGHT ARM Fast,105,80,14,93,"KKR, DCH, SRH, RPSG, KXIP, DC",Do No Play,0,Capped,50,Ishant Sharma
4,FA1,England,F,21-02-1994,29,BOWLER,RHB,LEFT ARM Fast,0,20,22,0,Do No Play,Do No Play,0,Capped,75,Reece Topley
4,FA1,India,SCA,18-10-1991,31,BOWLER,RHB,LEFT ARM Fast Medium,1,7,10,91,"KKR, RCB, DD, RPS, RR, MI",MI,5,Capped,50,Jaydev Unadkat
5,SP1,West Indies,F,25-04-1993,29,BOWLER,LHB,LEFT ARM Slow Orthodox,0,29,32,0,Do No Play,Do No Play,0,Capped,100,Akeal Hosein
5,SP1,India,PCA,11-11-1997,25,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,1,20,"RR, MI",MI,2,Capped,50,Mayank Markande
5,SP1,Afghanistan,F,28-03-2001,22,BOWLER,RHB,RIGHT ARM Off Spin,1,54,36,19,"KXIP, SRH",Do No Play,0,Capped,100,Mujeeb Rahman
5,SP1,England,F,17-02-1988,35,BOWLER,RHB,RIGHT ARM Leg Spin,19,119,92,1,PBKS,Do No Play,0,Capped,200,Adil Rashid
5,SP1,South Africa,F,18-02-1990,33,BOWLER,RHB,LEFT ARM Slow Unorthodox,2,39,59,5,"RCB, RR",Do No Play,0,Capped,100,Tabraiz Shamsi
5,SP1,Australia,F,31-12-1992,30,BOWLER,RHB,RIGHT ARM Leg Spin,0,75,72,14,"RPSG, RCB",Do No Play,0,Capped,150,Adam Zampa
6,UBA1,India,JKCA,13-09-1995,27,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shubham Khajuria
6,UBA1,India,KCA,10-05-1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rohan Kunnummal
6,UBA1,India,KSCA,25-05-2000,22,BATSMAN,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Chethan L.R.
6,UBA1,India,ACA,24-09-2004,18,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shaik Rasheed
6,UBA1,India,PCA,28-03-1998,25,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,3,MI,MI,2,Uncapped,20,Anmolpreet Singh
6,UBA1,India,DDCA,08-11-1996,26,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,RCB,Do No Play,0,Uncapped,20,Himmat Singh
7,UAL1,South Africa,F,10-09-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,RR,RR,0,Uncapped,20,Corbin Bosch
7,UAL1,India,UPCA,30-11-2000,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,21,SRH,SRH,2,Uncapped,20,Priyam Garg
7,UAL1,India,UPCA,01-05-1993,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Saurabh Kumar
7,UAL1,India,JKCA,30-10-1999,23,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Vivrant Sharma
7,UAL1,India,HCA,09-04-2004,18,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Nishant Sindhu
7,UAL1,India,PCA,12-10-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sanvir Singh
7,UAL1,India,CSCSCA,21-11-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,10,"DD, RR, SRH",SRH,10,Uncapped,20,Shashank Singh
7,UAL1,India,SCA,28-11-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Samarth Vyas
8,UWK1,India,ACA,03-10-1993,29,WICKETKEEPER,RHB,-,0,0,0,10,"RCB, DC",DC,2,Uncapped,20,K.S. Bharat
8,UWK1,India,KCA,22-03-1994,29,WICKETKEEPER,RHB,-,0,0,0,0,RCB,Do No Play,0,Uncapped,20,Mohammed Azharuddeen
8,UWK1,India,HCA,15-09-2004,18,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Dinesh Bana
8,UWK1,India,CAB,06-09-1995,27,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Abhimanyu Easwaran
8,UWK1,India,TNCA,24-12-1995,27,WICKETKEEPER,RHB,-,0,0,0,7,CSK,CSK,2,Uncapped,20,N. Jagadeesan
8,UWK1,India,HCA,12-12-1995,27,WICKETKEEPER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sumit Kumar
8,UWK1,India,RSPB,08-10-1996,26,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Upendra Singh Yadav
9,UFA1,India,HPCA,14-12-1997,25,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,5,"KKR, PBKS",PBKS,5,Uncapped,20,Vaibhav Arora
9,UFA1,India,KCA,24-07-1993,29,BOWLER,RHB,RIGHT ARM Fast,0,0,0,3,CSK,CSK,0,Uncapped,30,K.M. Asif
9,UFA1,India,CAB,12-10-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mukesh Kumar
9,UFA1,India,UPCA,26-11-1998,24,BOWLER,RHB,RIGHT ARM Fast,0,0,0,32,KKR,KKR,6,Uncapped,40,Shivam Mavi
9,UFA1,Australia,F,28-03-1998,25,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,30,Lance Morris
9,UFA1,India,VCA,28-12-1998,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Yash Thakur
9,UFA1,India,JKCA,07-06-2002,20,BOWLER,LHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mujtaba Yousuf
10,USP1,India,TNCA,08-09-1990,32,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,42,"RPS, DD,RCB,PBKS, MI",MI,8,Uncapped,20,Murugan Ashwin
10,USP1,India,BCA,25-08-1994,28,BOWLER,LHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Chintal Gandhi
10,USP1,India,KSCA,04-09-1993,29,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,49,"MI,RR,SRH",SRH,1,Uncapped,20,Shreyas Gopal
10,USP1,India,KCA,07-10-1994,28,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,1,RR,Do No Play,0,Uncapped,20,S Midhun
10,USP1,Afghanistan,F,10-11-2003,19,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Izharulhuq Naveed
10,USP1,India,RCA,06-06-1998,24,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Himanshu Sharma
11,BA2,Australia,F,29-12-1993,29,BATSMAN,LHB,RIGHT ARM Off Spin,28,51,17,10,RCB,Do No Play,0,Capped,200,Travis Head
11,BA2,England,F,21-11-1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,2,0,Do No Play,Do No Play,0,Capped,150,Will Jacks
11,BA2,England,F,03-09-1987,35,BATSMAN,LHB,RIGHT ARM Leg Spin,22,12,55,1,PBKS,Do No Play,0,Capped,150,Dawid Malan
11,BA2,India,KSCA,10-09-1989,33,BATSMAN,RHB,-,0,29,39,160,"MI, RCB,PWI, KKR, SRH, LSG",LSG,6,Capped,100,Manish Pandey
11,BA2,West Indies,F,15-08-1998,24,BATSMAN,LHB,-,0,0,6,10,"DC, MI, RR, RCB",RCB,3,Capped,150,Sherfane Rutherford
11,BA2,India,PCA,18-12-1991,31,BATSMAN,RHB,-,0,0,3,108,"KKR, RCB, PBKS, DC",DC,3,Capped,50,Mandeep Singh
11,BA2,Ireland,F,03-09-1990,32,BATSMAN,RHB,RIGHT ARM Off Spin,3,139,121,0,Do No Play,Do No Play,0,Capped,50,Paul Stirling
11,BA2,South Africa,F,07-02-1989,34,BATSMAN,RHB,RIGHT ARM Off Spin,17,38,41,3,RR,RR,3,Capped,200,Rassie Van Der Dussen
12,AL2,New Zealand,F,20-05-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,12,11,41,2,RR,RR,2,Capped,100,Daryl Mitchell
12,AL2,Afghanistan,F,01-01-1985,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,3,135,104,17,"SRH, KKR",KKR,0,Capped,100,Mohammad Nabi
12,AL2,New Zealand,F,17-09-1990,32,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,12,71,60,14,"DD, KXIP, MI, RR",RR,2,Capped,200,Jimmy Neesham
12,AL2,South Africa,F,30-07-1989,33,ALL-ROUNDER,LHB,LEFT ARM Fast,6,69,53,26,"PWI, DD",Do No Play,0,Capped,75,Wayne Parnell
12,AL2,Australia,F,27-10-1992,30,ALL-ROUNDER,RHB,LEFT ARM Fast,0,0,10,16,"DC, RCB, MI",MI,11,Capped,75,Daniel Sams
12,AL2,Sri Lanka,F,09-09-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,6,42,82,0,Do No Play,Do No Play,0,Capped,50,Dasun Shanaka
12,AL2,West Indies,F,26-11-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,18,23,3,SRH,SRH,3,Capped,50,Romario Shepherd
13,FA2,Bangladesh,F,03-04-1995,28,BOWLER,LHB,RIGHT ARM Fast,11,51,46,0,Do No Play,Do No Play,0,Capped,50,Taskin Ahmed
13,FA2,Sri Lanka,F,11-01-1992,31,BOWLER,RHB,RIGHT ARM Fast,12,42,52,12,LSG,LSG,12,Capped,50,Dushmanta Chameera
13,FA2,New Zealand,F,30-12-1994,28,BOWLER,RHB,RIGHT ARM Fast,16,8,8,9,RCB,Do No Play,0,Capped,100,Kyle Jamieson
13,FA2,Australia,F,21-06-1996,26,BOWLER,RHB,RIGHT ARM Fast,0,1,5,13,"PBKS, MI",MI,8,Capped,150,Riley Meredith
13,FA2,Zimbabwe,F,02-10-1996,26,BOWLER,RHB,RIGHT ARM Fast,6,33,34,0,Do No Play,Do No Play,0,Capped,50,Blessing Muzarabani
13,FA2,India,UTCA,18-05-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,2,104,"SRH, PBKS",PBKS,5,Capped,50,Sandeep Sharma
14,WK2,West Indies,F,14-01-1989,34,WICKETKEEPER,RHB,-,0,48,38,0,Do No Play,Do No Play,0,Capped,50,Johnson Charles
14,WK2,West Indies,F,28-11-1987,35,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,25,54,0,Do No Play,Do No Play,0,Capped,50,Andre Fletcher
14,WK2,West Indies,F,10-11-1993,29,WICKETKEEPER,RHB,-,38,104,19,0,Do No Play,Do No Play,0,Capped,100,Shai Hope
14,WK2,New Zealand,F,02-04-1992,31,WICKETKEEPER,LHB,-,68,116,18,0,Do No Play,Do No Play,0,Capped,100,Tom Latham
14,WK2,Australia,F,12-12-1994,28,WICKETKEEPER,RHB,-,0,5,23,0,Do No Play,Do No Play,0,Capped,50,Ben Mcdermott
14,WK2,Australia,F,01-06-1997,25,WICKETKEEPER,RHB,-,0,3,10,5,RCB,Do No Play,0,Capped,75,Joshua Philippe
14,WK2,Ireland,F,10-09-1996,26,WICKETKEEPER,RHB,-,0,29,49,0,Do No Play,Do No Play,0,Capped,50,Lorcan Tucker
15,SP2,India,GUCA,24-12-1988,34,BOWLER,LHB,RIGHT ARM Leg Spin,3,25,7,165,"KXIP, KKR, CSK, MI",Do No Play,0,Capped,50,Piyush Chawla
15,SP2,India,HCA,24-11-1982,40,BOWLER,RHB,RIGHT ARM Leg Spin,22,36,10,154,"DCH, SRH, DC",Do No Play,0,Capped,50,Amit Mishra
15,SP2,India,JSCA,12-08-1989,33,BOWLER,RHB,LEFT ARM Slow Orthodox,2,0,0,72,"SRH, DD, RCB, LSG",LSG,0,Capped,50,Shahbaz Nadeem
15,SP2,New Zealand,F,31-10-1992,30,BOWLER,RHB,RIGHT ARM Leg Spin,17,37,88,8,RR,Do No Play,0,Capped,75,Ish Sodhi
16,UBA2,India,KCA,18-12-1988,34,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,19,"RR, SRH, RCB",Do No Play,0,Uncapped,20,Sachin Baby
16,UBA2,India,CSCSCA,11-08-1991,31,BATSMAN,LHB,RIGHT ARM Medium,0,0,0,4,"KKR, PWI, RCB",Do No Play,0,Uncapped,20,Harpreet Bhatia
16,UBA2,India,ACA,15-11-1995,27,BATSMAN,RHB,RIGHT ARM Fast,0,0,0,0,DC,DC,0,Uncapped,20,Ashwin Hebbar
16,UBA2,India,PCA,07-06-2001,21,BATSMAN,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Pukhraj Mann
16,UBA2,India,MPCA,15-09-2003,19,BATSMAN,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Akshat Raghuwanshi
16,UBA2,India,HCA,01-10-1998,24,BATSMAN,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Himanshu Rana
16,UBA2,India,KCA,16-10-2002,20,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shoun Roger
16,UBA2,India,JSCA,08-12-1997,25,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,0,3,SRH,Do No Play,0,Uncapped,20,Virat Singh
16,UBA2,England,F,26-10-2001,21,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,40,Will Smeed
16,UBA2,India,VCA,14-03-1992,31,BATSMAN,RHB,-,0,0,0,0,"MI, KKR",Do No Play,0,Uncapped,30,Apoorv Wankhade
17,UAL2,India,KSCA,05-10-1998,24,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Manoj Bhandage
17,UAL2,South Africa,F,02-10-2000,22,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Gerald Coetzee
17,UAL2,India,HPCA,11-11-1996,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,KXIP,Do No Play,0,Uncapped,20,Mayank Dagar
17,UAL2,South Africa,F,01-05-2000,22,ALL-ROUNDER,RHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Duan Jansen
17,UAL2,South Africa,F,05-08-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Evan Jones
17,UAL2,India,SCA,23-04-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,PBKS,PBKS,0,Uncapped,20,Prerak Mankad
17,UAL2,India,JKCA,17-01-1997,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Abid Mushtaq
17,UAL2,India,MCA,29-01-2003,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Suryansh Shedge
17,UAL2,India,KSCA,16-01-1994,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,22,"MI, DC, KXIP, SRH",SRH,5,Uncapped,20,Jagadeesha Suchith
17,UAL2,India,HPCA,17-12-1994,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Akash Vashisht
18,UWK2,India,ACA,29-09-1996,26,WICKETKEEPER,RHB,-,0,0,0,2,SRH,Do No Play,0,Uncapped,20,Ricky Bhui
18,UWK2,South Africa,F,21-07-1998,24,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Donovan Ferreira
18,UWK2,India,TNCA,08-07-1994,28,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,0,0,3,KKR,KKR,3,Uncapped,20,Baba Indrajith
18,UWK2,India,SCA,27-09-1986,36,WICKETKEEPER,RHB,-,0,0,0,9,KKR,KKR,5,Uncapped,20,Sheldon Jackson
18,UWK2,India,UPCA,11-11-2001,21,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,0,MI,MI,0,Uncapped,20,Aryan Juyal
18,UWK2,India,GUCA,17-10-1998,24,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Urvil Patel
18,UWK2,India,ACA,19-09-1997,25,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Kirant Shinde
18,UWK2,India,KSCA,15-01-2000,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,0,0,0,RCB,RCB,0,Uncapped,20,Luvnith Sisodia
18,UWK2,India,BCA,15-10-1992,30,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Vishnu Solanki
18,UWK2,India,KCA,02-12-1993,29,WICKETKEEPER,RHB,-,0,0,0,3,"RCB, DC, SRH",SRH,0,Uncapped,20,Vishnu Vinod
19,UFA2,India,RCA,28-01-1990,33,BOWLER,RHB,LEFT ARM Fast Medium,0,0,0,5,RCB,Do No Play,0,Uncapped,30,Aniket Choudhary
19,UFA2,India,KSCA,25-02-1999,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Vidwath Kaverappa
19,UFA2,India,CAU,08-07-1996,26,BOWLER,LHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rajan Kumar
19,UFA2,India,CAB,29-10-2003,19,BOWLER,LHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ravi Kumar
19,UFA2,India,JSCA,23-12-2000,22,BOWLER,LHB,LEFT ARM Fast,0,0,0,0,SRH,SRH,0,Uncapped,20,Sushant Mishra
19,UFA2,India,GUCA,17-10-1997,25,BOWLER,RHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Arzan Nagwaswalla
19,UFA2,India,CAB,05-09-1998,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,1,PBKS,PBKS,0,Uncapped,20,Ishan Porel
19,UFA2,India,NCA,26-04-2002,20,BOWLER,RHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Akash Singh
19,UFA2,India,KCA,11-09-1993,29,BOWLER,RHB,RIGHT ARM Fast,0,0,0,25,"GL, SRH, MI",MI,5,Uncapped,20,Basil Thampi
19,UFA2,Netherland,F,15-01-1993,30,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Associate,20,Paul Van Meekeren
