Set No.,2023 Set,Country,Association,DOB,Age,Specialism,Batting_Style,Bowling_Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2022 Team,2022 IPL,C/U/A,Reserve_Price,Player_Name
32,UAL4,India,TNCA,19-09-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,B. Surya
32,UAL4,England,F,09-10-1996,26,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,40,Jordan Thompson
32,UAL4,India,DDCA,17-09-1995,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shivank Vashisth
33,UWK4,India,HPCA,16-12-1995,27,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,0,0,0,"RPSG, DC",Do No Play,0,Uncapped,20,Ankush Bains
33,UWK4,England,F,29-04-1999,23,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Christopher Benjamin
33,UWK4,South Africa,F,31-05-2001,21,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Connor Esterhuizen
33,UWK4,India,UTCA,15-09-1999,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mohd Arslan Khan
33,UWK4,India,ACA,17-07-2001,21,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mamidi Krishna
33,UWK4,India,JKCA,11-12-1996,26,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Fazil Makaya
33,UWK4,India,UPCA,10-05-1993,29,WICKETKEEPER,RHB,-,0,0,0,14,"GL, KXIP, RCB",Do No Play,0,Uncapped,20,Akshdeep Nath
33,UWK4,India,DDCA,27-09-1993,29,WICKETKEEPER,RHB,RIGHT ARM Fast,0,0,0,0,MI,Do No Play,0,Uncapped,20,Deepak Punia
33,UWK4,India,RCA,09-10-2002,20,WICKETKEEPER,LHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Kunal Rathore
33,UWK4,India,JKCA,07-04-1996,27,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ateev Saini
33,UWK4,India,BICA,20-11-1999,23,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Bipin Saurabh
33,UWK4,India,KSCA,28-09-1996,26,WICKETKEEPER,RHB,-,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,B.R. Sharath
33,UWK4,India,UPCA,21-08-2002,20,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Yashovardhan Singh
33,UWK4,India,DDCA,15-09-1997,25,WICKETKEEPER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Lakshay Thareja
34,UFA4,India,MCA,18-11-1992,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mohit Avasthi
34,UFA4,South Africa,F,18-03-1993,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ottneil Baartman
34,UFA4,India,PCA,25-05-2000,22,BOWLER,LHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Gurnoor Singh Brar
34,UFA4,India,JKCA,12-06-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shahrukh Dar
34,UFA4,England,F,07-05-1994,28,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,40,Thomas Helm
34,UFA4,India,HPCA,20-09-1995,27,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,MI,Do No Play,0,Uncapped,20,Pankaj Jaswal
34,UFA4,India,KSCA,12-05-2000,22,BOWLER,LHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Venkatesh Muralidhara
34,UFA4,India,CAB,06-11-1994,28,BOWLER,RHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Geet Puri
34,UFA4,India,HYCA,08-10-1999,23,BOWLER,LHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,E. Sanketh
34,UFA4,India,TCA,10-03-1997,26,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ajay Sarkar
34,UFA4,India,RCA,17-06-2002,20,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ashok Sharma
34,UFA4,India,HPCA,16-06-1991,31,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Kanwar Singh
35,AL5,West Indies,F,07-05-1995,27,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,20,34,5,"SRH, PBKS, MI",MI,1,Capped,50,Fabian Allen
35,AL5,West Indies,F,18-07-1988,34,ALL-ROUNDER,RHB,RIGHT ARM Fast,3,44,41,16,"DD, SRH, KKR",Do No Play,0,Capped,75,Carlos Brathwaite
35,AL5,West Indies,F,22-03-1992,31,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,43,33,6,0,Do No Play,Do No Play,0,Capped,100,Roston Chase
35,AL5,West Indies,F,01-02-1993,30,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,9,0,0,0,Do No Play,Do No Play,0,Capped,100,Rahkeem Cornwall
35,AL5,Afghanistan,F,11-08-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,1,41,0,Do No Play,Do No Play,0,Capped,50,Karim Janat
35,AL5,South Africa,F,07-02-1990,33,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,45,26,25,0,Do No Play,Do No Play,0,Capped,50,Keshav Maharaj
35,AL5,India,DDCA,06-01-1993,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,1,50,"CSK, RCB, DD, KKR",Do No Play,0,Capped,50,Pawan Negi
35,AL5,West Indies,F,21-02-1998,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,3,23,23,8,DC,Do No Play,0,Capped,50,Keemo Paul
36,UAL5,India,RSPB,04-08-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shivam Chaudhary
36,UAL5,India,MPCA,16-12-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ashwin Das
36,UAL5,England,F,24-01-1990,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,40,James Fuller
36,UAL5,India,SCA,09-11-1989,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Chirag Jani
36,UAL5,India,VCA,12-10-1992,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Akshay Karnewar
36,UAL5,India,UTCA,18-06-1997,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Bhagmender Lather
36,UAL5,India,JKCA,05-09-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Lone Muzaffar
36,UAL5,India,SSCB,18-06-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Pulkit Narang
36,UAL5,India,HYCA,29-07-1994,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rohit Rayudu
36,UAL5,India,UPCA,06-12-2003,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sameer Rizvi
36,UAL5,India,GCA,25-09-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Tunish Sawkar
36,UAL5,India,TNCA,11-11-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sonu Yadav
37,UFA5,India,JKCA,04-11-1996,26,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Auqib Dar
37,UFA5,India,ASCA,11-01-1999,24,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mukhtar Hussain
37,UFA5,India,DDCA,13-03-1992,31,BOWLER,LHB,LEFT ARM Fast,0,0,0,5,"MI, RCB",Do No Play,0,Uncapped,20,Kulwant Khejroliya
37,UFA5,India,PCA,29-08-2001,21,BOWLER,LHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ashwani Kumar
37,UFA5,India,RCA,28-10-1995,27,BOWLER,LHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Hemant Kumar
37,UFA5,Australia,F,14-07-1993,29,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Nathan McAndrew
37,UFA5,India,OCA,20-05-2000,22,BOWLER,LHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rajesh Mohanty
37,UFA5,India,RCA,14-10-1996,26,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ravi Sharma
37,UFA5,India,JSCA,28-06-1994,28,BOWLER,LHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Vikash Singh
37,UFA5,Namibia,F,01-02-1998,25,BOWLER,RHB,LEFT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Associate,20,Ruben Trumpelmann
37,UFA5,India,KSCA,19-09-1992,30,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Koushik Vasuki
37,UFA5,India,UPCA,08-09-2002,20,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Vasu Vats
38,UAL6,India,CSCSCA,21-11-1993,29,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shubham Agrawal
38,UAL6,India,TNCA,08-07-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,RPSG,Do No Play,0,Uncapped,20,Baba Aparajith
38,UAL6,India,HCA,06-12-2000,22,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Anshul Kamboj
38,UAL6,India,MACA,14-10-1993,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Azim Kazi
38,UAL6,India,DDCA,27-01-2003,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Dev Lakra
38,UAL6,India,CSCSCA,25-02-1996,27,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ajay Mandal
38,UAL6,India,KCA,09-10-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Abdul P A
38,UAL6,India,HCA,20-12-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Jitender Pal
38,UAL6,India,CAB,20-11-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ritwik Roy Chowdhury
38,UAL6,India,JSCA,07-05-1998,24,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,0,0,PBKS,Do No Play,0,Uncapped,20,Utkarsh Singh
38,UAL6,India,CSCSCA,05-01-1997,26,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shubham Singh
38,UAL6,India,CAU,20-11-2001,21,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Avneesh Sudha
39,UFA6,India,JKCA,31-08-1999,23,BOWLER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Asad Jamil Ahmed
39,UFA6,India,ACA,27-10-1992,30,BOWLER,RHB,RIGHT ARM Medium,0,0,0,0,DC,Do No Play,0,Uncapped,20,Bandaru Ayyappa
39,UFA6,India,JKCA,14-08-2003,19,BOWLER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Aashish Bhatt
39,UFA6,West Indies,F,05-06-2003,19,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,McKenny Clarke
39,UFA6,India,VCA,22-07-1994,28,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shubham Kapse
39,UFA6,India,JKCA,16-04-1998,24,BOWLER,RHB,LEFT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Gourav Koul
39,UFA6,India,JSCA,19-12-2002,20,BOWLER,RHB,LEFT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Raunak Kumar
39,UFA6,India,TNCA,28-05-2000,22,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Trilok Nag
39,UFA6,India,UPCA,05-08-1999,23,BOWLER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Atal Bihari Rai
39,UFA6,West Indies,F,16-10-2001,21,BOWLER,LHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ramon Simmonds
39,UFA6,India,JKCA,16-06-1995,27,BOWLER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rajeev Singh
39,UFA6,India,JKCA,06-05-1999,23,BOWLER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mohd. Wasim
40,UAL7,India,MCA,26-09-2000,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Atharva Ankolekar
40,UAL7,India,MCA,10-10-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Khizar Dafedar
40,UAL7,India,PCA,31-12-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Naman Dhir
40,UAL7,India,RCA,03-07-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sahil Dhiwan
40,UAL7,India,JKCA,19-06-2001,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sampark Gupta
40,UAL7,South Africa,F,04-12-2001,21,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Jordan Hermann
40,UAL7,Australia,F,10-07-1996,26,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Hayden Kerr
40,UAL7,India,RCA,26-12-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Salman Khan
40,UAL7,India,MCA,31-10-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sairaj Patil
40,UAL7,India,MCA,13-02-2001,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Divyaansh Saxena
40,UAL7,India,UPCA,20-01-2001,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Purnank Tyagi
40,UAL7,India,UPCA,02-01-1998,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Prince Yadav
41,UAL8,India,GCA,04-04-1998,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Deepraj Gaonkar
41,UAL8,India,RCA,14-05-1995,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,RR,RR,0,Uncapped,20,Shubham Garhwal
41,UAL8,England,F,05-10-1988,34,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,PBKS,PBKS,0,Uncapped,40,Benny Howell
41,UAL8,India,CAU,04-11-1997,25,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Deepesh Nailwal
41,UAL8,India,DDCA,16-01-2000,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Arjun Rapria
41,UAL8,India,BCA,06-04-2001,22,ALL-ROUNDER,LHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shashwat Rawat
41,UAL8,India,CSCSCA,06-06-1990,32,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sumit Ruikar
41,UAL8,India,DDCA,09-09-1993,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,5,KXIP,Do No Play,0,Uncapped,20,Shivam Sharma
41,UAL8,India,JSCA,05-09-2002,20,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rajandeep Singh
41,UAL8,India,BICA,03-01-1993,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Anunay Singh
41,UAL8,India,DDCA,15-12-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Digvesh Singh
41,UAL8,India,DDCA,18-11-1995,27,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Pranshu Vijayran
42,UAL9,India,PCA,22-09-1998,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Prerit Dutta
42,UAL9,India,MACA,28-08-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ramakrishna Ghosh
42,UAL9,India,KSCA,30-03-2001,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shubhang Hegde
42,UAL9,India,MACA,10-11-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shamshuzama Kazi
42,UAL9,India,MCA,10-09-2002,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Ayaz Khan
42,UAL9,India,SSCB,08-09-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Amit Pachhara
42,UAL9,India,PCA,21-12-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Akul Pandove
42,UAL9,India,SSCB,13-01-1999,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Mohit Rathee
42,UAL9,India,HCA,06-03-2004,19,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Garv Sangwan
42,UAL9,India,RCA,26-03-1997,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Shubham Sharma
42,UAL9,India,PCA,04-09-2000,22,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Nehal Wadhera
42,UAL9,India,GCA,10-10-1989,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Amit Yadav
43,UAL10,India,TCA,28-10-2002,20,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Amit Ali
43,UAL10,India,MPCA,05-09-1999,23,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rishabh Chauhan
43,UAL10,West Indies,F,29-04-2002,20,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Matthew Forde
43,UAL10,India,SCA,14-08-2003,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sammar Gajjar
43,UAL10,India,VCA,28-01-1993,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Rajneesh Gurbani
43,UAL10,India,UPCA,24-09-2001,21,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Divyansh Joshi
43,UAL10,India,BCA,09-12-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Dhruv Patel
43,UAL10,Australia,F,28-02-1996,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Jack Prestwidge
43,UAL10,India,VCA,10-12-1989,33,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Aditya Sarvate
43,UAL10,India,MPCA,01-01-2000,23,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Sagar Solanki
43,UAL10,South Africa,F,23-09-1993,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,Do No Play,Do No Play,0,Uncapped,20,Prenelan Subrayen
43,UAL10,India,HYCA,21-09-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,0,0,CSK,CSK,0,Uncapped,20,Bhagath Varma
